striker,batting_team,matches,innings,total_runs,total_balls,fours,sixes,dismissals,high_score,average,strike_rate
AM Ghazanfar,MI,1,1,2,3,0,0,0,2,2.0,66.67
Abdul Samad,LSG,7,7,116,88,10,5,6,37,19.33,131.82
Abhishek Sharma,SRH,15,15,563,275,50,43,15,135,37.53,204.73
Abishek Porel,DC,4,4,108,88,15,1,4,51,27.0,122.73
Adam Milne,RR,1,1,2,2,0,0,0,2,2.0,100.0
Aiden Markram,LSG,11,11,231,168,20,11,8,45,28.88,137.5
Ajinkya Rahane,KKR,14,14,335,248,25,18,12,67,27.92,135.08
Akeal Hosein,CSK,2,2,5,3,0,0,0,3,5.0,166.67
Akshat Raghuwanshi,LSG,2,2,29,25,1,1,2,18,14.5,116.0
Angkrish Raghuvanshi,KKR,12,12,422,287,40,19,9,82,46.89,147.04
Aniket Verma,SRH,8,8,79,54,6,5,6,43,13.17,146.3
Anrich Nortje,LSG,1,1,0,1,0,0,1,0,0.0,0.0
Anshul Kamboj,CSK,4,4,59,38,3,4,1,19,59.0,155.26
Anukul Roy,KKR,7,7,52,39,3,2,4,29,13.0,133.33
Arjun Tendulkar,LSG,1,1,5,5,0,0,0,5,5.0,100.0
Arshad Khan,GT,2,2,23,11,1,2,1,15,23.0,209.09
Arshdeep Singh,PBKS,1,1,1,1,0,0,0,1,1.0,100.0
Arshin Kulkarni,LSG,2,2,17,25,1,0,2,17,8.5,68.0
Ashok Sharma,GT,2,2,1,4,0,0,0,1,1.0,25.0
Ashutosh Sharma,DC,8,8,171,94,15,12,5,39,34.2,181.91
Ashwani Kumar,MI,1,1,1,6,0,0,0,1,1.0,16.67
Auqib Nabi,DC,2,2,14,4,2,1,1,10,14.0,350.0
Avesh Khan,LSG,3,3,6,6,1,0,1,4,6.0,100.0
Axar Patel,DC,11,11,173,132,16,6,9,56,19.22,131.06
Ayush Badoni,LSG,10,10,215,141,23,9,10,54,21.5,152.48
Ayush Mhatre,CSK,6,6,201,113,20,12,5,73,40.2,177.88
Azmatullah Omarzai,PBKS,2,2,52,27,3,5,2,38,26.0,192.59
Bhuvneshwar Kumar,RCB,4,4,34,26,3,1,0,15,34.0,130.77
Brijesh Sharma,RR,2,2,2,4,0,0,0,1,2.0,50.0
Cameron Green,KKR,14,14,322,221,22,17,8,79,40.25,145.7
Cooper Connolly,PBKS,13,13,491,301,43,32,11,107,44.64,163.12
Corbin Bosch,MI,4,4,50,31,5,2,1,32,50.0,161.29
Danish Malewar,MI,2,2,2,5,0,0,2,2,1.0,40.0
Dasun Shanaka,RR,5,5,63,46,3,4,4,29,15.75,136.96
David Miller,DC,10,10,211,137,15,14,7,51,30.14,154.01
David Payne,SRH,1,1,6,5,0,0,0,6,6.0,120.0
Deepak Chahar,MI,4,4,25,19,3,1,2,10,12.5,131.58
Devdutt Padikkal,RCB,15,15,464,275,49,24,14,61,33.14,168.73
Dewald Brevis,CSK,8,8,151,118,8,10,8,44,18.88,127.97
Dhruv Jurel,RR,16,16,514,332,47,24,15,81,34.27,154.82
Digvesh Singh Rathi,LSG,2,2,2,5,0,0,0,2,2.0,40.0
Donovan Ferreira,RR,13,13,317,177,26,23,9,69,35.22,179.1
Dushmantha Chameera,DC,1,1,0,3,0,0,0,0,0.0,0.0
Eshan Malinga,SRH,3,3,7,17,0,0,1,5,7.0,41.18
Finn Allen,KKR,11,11,349,163,33,28,11,100,31.73,214.11
George Linde,LSG,3,3,31,21,6,0,3,16,10.33,147.62
Glenn Phillips,GT,5,5,67,54,4,2,4,25,16.75,124.07
Hardik Pandya,MI,10,10,206,149,21,7,9,40,22.89,138.26
Harpreet Brar,PBKS,1,1,5,3,1,0,0,5,5.0,166.67
Harsh Dubey,SRH,4,4,13,9,2,0,2,9,6.5,144.44
Harshal Patel,SRH,3,3,10,9,2,0,2,6,5.0,111.11
Heinrich Klaasen,SRH,15,15,624,390,48,31,13,69,48.0,160.0
Himmat Singh,LSG,5,5,92,69,5,5,3,40,30.67,133.33
Ishan Kishan,SRH,15,15,604,331,60,32,14,91,43.14,182.48
Jacob Bethell,RCB,7,7,96,77,12,3,7,27,13.71,124.68
Jaiswal,RR,1,1,1,1,0,0,0,1,1.0,100.0
Jamie Overton,CSK,6,6,136,86,13,6,5,43,27.2,158.14
Jason Holder,GT,7,7,65,52,3,3,5,23,13.0,125.0
Jasprit Bumrah,MI,2,2,7,7,1,0,1,5,7.0,100.0
Jaydev Unadkat,SRH,1,1,4,3,0,0,0,4,4.0,133.33
Jitesh Sharma,RCB,12,12,117,96,9,6,9,23,13.0,121.88
Jofra Archer,RR,10,10,64,47,4,4,5,32,12.8,136.17
Jos Buttler,GT,17,17,526,345,51,26,14,60,37.57,152.46
Josh Hazlewood,RCB,1,1,0,1,0,0,1,0,0.0,0.0
Josh Inglis,LSG,5,5,262,143,31,12,5,81,52.4,183.22
KL Rahul,DC,1,1,0,1,0,0,0,0,0.0,0.0
Kagiso Rabada,GT,4,4,47,38,5,2,2,23,23.5,123.68
Kartik Sharma,CSK,11,11,295,216,24,16,9,71,32.78,136.57
Kartik Tyagi,KKR,3,3,11,10,1,1,3,6,3.67,110.0
Karun Nair,DC,2,2,18,18,3,0,2,13,9.0,100.0
Krish Bhagat,MI,2,2,10,21,0,0,1,7,10.0,47.62
Krunal Pandya,RCB,9,9,226,155,20,11,5,73,45.2,145.81
Kuldeep Yadav,DC,4,4,9,21,0,0,2,4,4.5,42.86
Kumar Kushagra,GT,1,1,18,14,3,0,1,18,18.0,128.57
Kyle Jamieson,DC,1,1,12,13,1,1,1,12,12.0,92.31
Lhuan-dre Pretorius,RR,2,2,7,8,0,0,1,7,7.0,87.5
Liam Livingstone,SRH,2,2,15,25,0,1,2,14,7.5,60.0
Lungi Ngidi,DC,3,3,4,7,0,0,2,3,2.0,57.14
Madhav Tiwari,DC,1,1,18,8,2,1,0,18,18.0,225.0
Manish Pandey,KKR,2,2,70,49,8,2,2,45,35.0,142.86
Marco Jansen,PBKS,5,5,51,45,1,3,4,20,12.75,113.33
Marcus Stoinis,PBKS,9,9,216,120,23,11,6,62,36.0,180.0
Matt Henry,CSK,2,2,7,10,1,0,2,5,3.5,70.0
Matthew Short,CSK,3,3,60,51,6,1,3,34,20.0,117.65
Mayank Yadav,LSG,1,1,5,5,1,0,1,5,5.0,100.0
Mitchell Marsh,LSG,13,13,563,345,51,36,12,111,46.92,163.19
Mitchell Santner,MI,2,2,26,19,3,0,0,18,26.0,136.84
Mitchell Starc,DC,1,1,0,2,0,0,1,0,0.0,0.0
Mohammed Shami,LSG,7,7,31,22,2,3,5,12,6.2,140.91
Mohammed Siraj,GT,2,2,5,16,1,0,2,5,2.5,31.25
Mohsin Khan,LSG,2,2,0,4,0,0,2,0,0.0,0.0
Mukesh Choudhary,CSK,1,1,2,2,0,0,0,2,2.0,100.0
Mukul Choudhary,LSG,10,10,170,120,11,12,6,54,28.33,141.67
Naman Dhir,MI,14,14,318,216,31,13,12,57,26.5,147.22
Nandre Burger,RR,3,3,14,9,0,1,1,10,14.0,155.56
Natarajan,DC,1,1,1,2,0,0,0,1,1.0,50.0
Nehal Wadhera,PBKS,6,6,65,57,4,4,6,25,10.83,114.04
Nicholas Pooran,LSG,14,14,234,184,11,19,14,63,16.71,127.17
Nishant Sindhu,GT,5,5,63,50,7,2,5,22,12.6,126.0
Nitish Rana,DC,9,9,225,149,27,10,9,91,25.0,151.01
Nitish Reddy,SRH,13,13,302,176,19,21,10,56,30.2,171.59
Noor Ahmad,CSK,4,4,11,23,0,1,3,8,3.67,47.83
Pat Cummins,SRH,3,3,30,19,1,3,3,19,10.0,157.89
Pathum Nissanka,DC,10,10,277,175,33,12,9,62,30.78,158.29
Phil Salt,RCB,6,6,202,120,16,11,6,78,33.67,168.33
Prabhsimran Singh,PBKS,13,13,510,302,55,23,12,80,42.5,168.87
Praful Hinge,SRH,2,2,3,9,0,0,1,3,3.0,33.33
Prashant Veer,CSK,5,5,91,67,10,3,2,43,45.5,135.82
Prasidh Krishna,GT,1,1,6,7,1,0,0,6,6.0,85.71
Prince Yadav,LSG,1,1,0,1,0,0,0,0,0.0,0.0
Priyansh Arya,PBKS,13,13,364,172,27,32,13,93,28.0,211.63
Quinton de Kock,MI,3,3,132,81,9,9,2,112,66.0,162.96
Rahul,DC,14,14,593,339,56,31,13,152,45.62,174.93
Rahul Tewatia,GT,15,15,190,132,20,8,7,68,27.14,143.94
Raj Bawa,MI,1,1,16,14,1,0,1,16,16.0,114.29
Rajat Patidar,RCB,14,14,500,259,30,42,12,93,41.67,193.05
Ramandeep Singh,KKR,6,6,82,68,8,2,5,35,16.4,120.59
Rashid Khan,GT,6,6,50,41,4,2,4,24,12.5,121.95
Rasikh Salam Dar,RCB,1,1,3,2,0,0,0,3,3.0,150.0
Ravi Bishnoi,RR,2,2,0,3,0,0,2,0,0.0,0.0
Ravi Singh,RR,1,1,4,2,1,0,1,4,4.0,200.0
Ravindra Jadeja,RR,11,11,266,197,24,5,4,45,66.5,135.03
Rinku Singh,KKR,11,11,299,199,28,11,6,87,49.83,150.25
Rishabh Pant,LSG,13,13,313,228,30,11,9,68,34.78,137.28
Riyan Parag,RR,14,14,309,196,24,21,13,90,23.77,157.65
Robin Minz,MI,2,2,6,4,1,0,1,5,6.0,150.0
Rohit Sharma,MI,9,9,283,180,21,21,9,84,31.44,157.22
Romario Shepherd,RCB,7,7,83,66,6,5,4,23,20.75,125.76
Rovman Powell,KKR,7,7,191,142,16,10,4,40,47.75,134.51
Ruturaj Gaikwad,CSK,14,14,337,273,29,12,12,74,28.08,123.44
Ryan Rickelton,MI,12,12,448,240,31,38,11,123,40.73,186.67
Sahil Parakh,DC,4,4,46,33,5,2,4,24,11.5,139.39
Sai Sudharsan,GT,17,17,722,458,75,30,16,100,45.12,157.64
Sakib Hussain,SRH,1,1,5,7,1,0,0,5,5.0,71.43
Salil Arora,SRH,11,11,156,98,11,11,7,35,22.29,159.18
Sameer Rizvi,DC,9,9,252,171,15,17,7,90,36.0,147.37
Sanju Samson,CSK,14,14,475,287,53,24,11,115,43.18,165.51
Sarfaraz Khan,CSK,7,7,161,95,23,6,7,50,23.0,169.47
Saurabh Dubey,KKR,1,1,4,2,1,0,0,4,4.0,200.0
Shahbaz Ahmed,LSG,2,2,58,41,4,3,0,43,58.0,141.46
Shahrukh Khan,GT,5,5,43,33,3,2,3,17,14.33,130.3
Shardul Thakur,MI,3,3,24,30,2,0,2,10,12.0,80.0
Shashank Singh,PBKS,9,9,132,70,11,8,6,56,22.0,188.57
Sherfane Rutherford,MI,7,7,123,75,5,12,5,71,24.6,164.0
Shimron Hetmyer,RR,7,7,78,69,5,3,6,22,13.0,113.04
Shivam Dube,CSK,12,12,270,170,24,15,7,47,38.57,158.82
Shivang Kumar,SRH,6,6,53,46,6,1,6,27,8.83,115.22
Shreyas Iyer,PBKS,13,13,498,294,39,30,9,101,55.33,169.39
Shubham Dubey,RR,6,6,81,58,8,3,4,31,20.25,139.66
Shubman Gill,GT,16,16,732,449,74,33,15,104,48.8,163.03
Smaran Ravichandran,SRH,4,4,19,25,3,0,3,9,6.33,76.0
Spencer Johnson,CSK,1,1,0,1,0,0,1,0,0.0,0.0
Sunil Narine,KKR,4,4,40,32,2,4,3,24,13.33,125.0
Suryakumar Yadav,MI,13,13,270,183,28,10,13,60,20.77,147.54
Suryansh Shedge,PBKS,7,7,158,90,9,12,4,57,39.5,175.56
Sushant Mishra,RR,1,1,1,3,0,0,0,1,1.0,33.33
Tejasvi Dahiya,KKR,2,2,12,15,2,0,2,11,6.0,80.0
Tilak Varma,MI,14,14,359,246,30,17,12,101,29.92,145.93
Tim David,RCB,15,15,305,162,22,23,9,70,33.89,188.27
Tim Seifert,KKR,3,3,19,18,2,1,3,19,6.33,105.56
Travis Head,SRH,15,15,410,241,46,23,15,76,27.33,170.12
Trent Boult,MI,2,2,8,4,0,1,1,7,8.0,200.0
Tristan Stubbs,DC,13,13,275,216,18,9,6,60,45.83,127.31
Tushar Deshpande,RR,2,2,26,14,0,3,2,25,13.0,185.71
Urvil Patel,CSK,7,7,129,64,6,14,7,65,18.43,201.56
Vaibhav Arora,KKR,2,2,1,3,0,0,0,1,1.0,33.33
Vaibhav Sooryavanshi,RR,16,16,776,327,63,72,16,103,48.5,237.31
Varun Chakaravarthy,KKR,2,2,5,6,1,0,2,5,2.5,83.33
Venkatesh Iyer,RCB,6,6,209,112,21,13,4,73,52.25,186.61
Vijaykumar Vyshak,PBKS,2,2,2,4,0,0,0,1,2.0,50.0
Vipraj Nigam,DC,2,2,15,10,2,0,1,12,15.0,150.0
Virat Kohli,RCB,16,16,675,408,73,25,13,105,51.92,165.44
Vishnu Vinod,PBKS,1,1,15,8,1,1,0,15,15.0,187.5
Washington Sundar,GT,16,16,377,251,40,12,10,55,37.7,150.2
Will Jacks,MI,7,7,139,76,12,9,5,46,27.8,182.89
Xavier Bartlett,PBKS,3,3,29,13,2,2,1,18,29.0,223.08
Yashasvi Jaiswal,RR,16,16,426,279,52,18,14,77,30.43,152.69
