striker,batting_team,phase,runs,balls,sr
AM Ghazanfar,MI,Death,2,3,66.67
Abdul Samad,LSG,Death,54,33,163.64
Abdul Samad,LSG,Middle,62,55,112.73
Abhishek Sharma,SRH,Death,20,17,117.65
Abhishek Sharma,SRH,Middle,174,86,202.33
Abhishek Sharma,SRH,Powerplay,369,172,214.53
Abishek Porel,DC,Death,4,3,133.33
Abishek Porel,DC,Middle,38,34,111.76
Abishek Porel,DC,Powerplay,66,51,129.41
Adam Milne,RR,Death,2,2,100.0
Aiden Markram,LSG,Death,54,28,192.86
Aiden Markram,LSG,Middle,57,52,109.62
Aiden Markram,LSG,Powerplay,120,88,136.36
Ajinkya Rahane,KKR,Middle,133,92,144.57
Ajinkya Rahane,KKR,Powerplay,202,156,129.49
Akeal Hosein,CSK,Death,5,3,166.67
Akshat Raghuwanshi,LSG,Middle,29,25,116.0
Angkrish Raghuvanshi,KKR,Death,79,40,197.5
Angkrish Raghuvanshi,KKR,Middle,214,146,146.58
Angkrish Raghuvanshi,KKR,Powerplay,129,101,127.72
Aniket Verma,SRH,Death,63,33,190.91
Aniket Verma,SRH,Middle,16,21,76.19
Anrich Nortje,LSG,Death,0,1,0.0
Anshul Kamboj,CSK,Death,40,30,133.33
Anshul Kamboj,CSK,Middle,19,8,237.5
Anukul Roy,KKR,Death,37,22,168.18
Anukul Roy,KKR,Middle,15,17,88.24
Arjun Tendulkar,LSG,Death,5,5,100.0
Arshad Khan,GT,Death,8,5,160.0
Arshad Khan,GT,Middle,15,6,250.0
Arshdeep Singh,PBKS,Death,1,1,100.0
Arshin Kulkarni,LSG,Middle,9,12,75.0
Arshin Kulkarni,LSG,Powerplay,8,13,61.54
Ashok Sharma,GT,Death,0,1,0.0
Ashok Sharma,GT,Middle,1,3,33.33
Ashutosh Sharma,DC,Death,145,71,204.23
Ashutosh Sharma,DC,Middle,26,23,113.04
Ashwani Kumar,MI,Death,1,6,16.67
Auqib Nabi,DC,Death,10,3,333.33
Auqib Nabi,DC,Middle,4,1,400.0
Avesh Khan,LSG,Death,6,6,100.0
Axar Patel,DC,Death,45,29,155.17
Axar Patel,DC,Middle,120,94,127.66
Axar Patel,DC,Powerplay,8,9,88.89
Ayush Badoni,LSG,Death,24,14,171.43
Ayush Badoni,LSG,Middle,96,75,128.0
Ayush Badoni,LSG,Powerplay,95,52,182.69
Ayush Mhatre,CSK,Death,6,7,85.71
Ayush Mhatre,CSK,Middle,97,53,183.02
Ayush Mhatre,CSK,Powerplay,98,53,184.91
Azmatullah Omarzai,PBKS,Death,40,20,200.0
Azmatullah Omarzai,PBKS,Middle,12,7,171.43
Bhuvneshwar Kumar,RCB,Death,30,23,130.43
Bhuvneshwar Kumar,RCB,Middle,4,3,133.33
Brijesh Sharma,RR,Death,2,4,50.0
Cameron Green,KKR,Death,61,42,145.24
Cameron Green,KKR,Middle,200,128,156.25
Cameron Green,KKR,Powerplay,61,51,119.61
Cooper Connolly,PBKS,Death,94,37,254.05
Cooper Connolly,PBKS,Middle,260,161,161.49
Cooper Connolly,PBKS,Powerplay,137,103,133.01
Corbin Bosch,MI,Death,50,31,161.29
Danish Malewar,MI,Powerplay,2,5,40.0
Dasun Shanaka,RR,Death,23,17,135.29
Dasun Shanaka,RR,Middle,40,29,137.93
David Miller,DC,Death,128,61,209.84
David Miller,DC,Middle,79,68,116.18
David Miller,DC,Powerplay,4,8,50.0
David Payne,SRH,Death,6,5,120.0
Deepak Chahar,MI,Death,19,14,135.71
Deepak Chahar,MI,Middle,6,5,120.0
Devdutt Padikkal,RCB,Middle,219,136,161.03
Devdutt Padikkal,RCB,Powerplay,245,139,176.26
Dewald Brevis,CSK,Death,38,21,180.95
Dewald Brevis,CSK,Middle,110,91,120.88
Dewald Brevis,CSK,Powerplay,3,6,50.0
Dhruv Jurel,RR,Death,75,50,150.0
Dhruv Jurel,RR,Middle,311,202,153.96
Dhruv Jurel,RR,Powerplay,128,80,160.0
Digvesh Singh Rathi,LSG,Death,2,5,40.0
Donovan Ferreira,RR,Death,184,83,221.69
Donovan Ferreira,RR,Middle,119,83,143.37
Donovan Ferreira,RR,Powerplay,14,11,127.27
Dushmantha Chameera,DC,Death,0,3,0.0
Eshan Malinga,SRH,Death,6,13,46.15
Eshan Malinga,SRH,Middle,1,4,25.0
Finn Allen,KKR,Middle,142,50,284.0
Finn Allen,KKR,Powerplay,207,113,183.19
George Linde,LSG,Death,31,21,147.62
Glenn Phillips,GT,Death,31,23,134.78
Glenn Phillips,GT,Middle,32,26,123.08
Glenn Phillips,GT,Powerplay,4,5,80.0
Hardik Pandya,MI,Death,80,59,135.59
Hardik Pandya,MI,Middle,112,81,138.27
Hardik Pandya,MI,Powerplay,14,9,155.56
Harpreet Brar,PBKS,Death,5,3,166.67
Harsh Dubey,SRH,Death,13,9,144.44
Harshal Patel,SRH,Death,10,9,111.11
Heinrich Klaasen,SRH,Death,185,104,177.88
Heinrich Klaasen,SRH,Middle,418,265,157.74
Heinrich Klaasen,SRH,Powerplay,21,21,100.0
Himmat Singh,LSG,Death,65,39,166.67
Himmat Singh,LSG,Middle,27,30,90.0
Ishan Kishan,SRH,Death,62,32,193.75
Ishan Kishan,SRH,Middle,354,195,181.54
Ishan Kishan,SRH,Powerplay,188,104,180.77
Jacob Bethell,RCB,Middle,13,16,81.25
Jacob Bethell,RCB,Powerplay,83,61,136.07
Jaiswal,RR,Middle,1,1,100.0
Jamie Overton,CSK,Death,89,56,158.93
Jamie Overton,CSK,Middle,47,30,156.67
Jason Holder,GT,Death,53,39,135.9
Jason Holder,GT,Middle,12,10,120.0
Jason Holder,GT,Powerplay,0,3,0.0
Jasprit Bumrah,MI,Death,2,5,40.0
Jasprit Bumrah,MI,Middle,5,2,250.0
Jaydev Unadkat,SRH,Death,4,3,133.33
Jitesh Sharma,RCB,Death,55,42,130.95
Jitesh Sharma,RCB,Middle,62,54,114.81
Jofra Archer,RR,Death,49,32,153.12
Jofra Archer,RR,Middle,15,15,100.0
Jos Buttler,GT,Death,75,44,170.45
Jos Buttler,GT,Middle,284,198,143.43
Jos Buttler,GT,Powerplay,167,103,162.14
Josh Hazlewood,RCB,Death,0,1,0.0
Josh Inglis,LSG,Death,3,4,75.0
Josh Inglis,LSG,Middle,84,61,137.7
Josh Inglis,LSG,Powerplay,175,78,224.36
KL Rahul,DC,Powerplay,0,1,0.0
Kagiso Rabada,GT,Death,26,20,130.0
Kagiso Rabada,GT,Middle,21,18,116.67
Kartik Sharma,CSK,Death,77,44,175.0
Kartik Sharma,CSK,Middle,187,149,125.5
Kartik Sharma,CSK,Powerplay,31,23,134.78
Kartik Tyagi,KKR,Death,7,8,87.5
Kartik Tyagi,KKR,Middle,4,2,200.0
Karun Nair,DC,Middle,12,9,133.33
Karun Nair,DC,Powerplay,6,9,66.67
Krish Bhagat,MI,Death,6,13,46.15
Krish Bhagat,MI,Middle,4,8,50.0
Krunal Pandya,RCB,Death,94,56,167.86
Krunal Pandya,RCB,Middle,123,89,138.2
Krunal Pandya,RCB,Powerplay,9,10,90.0
Kuldeep Yadav,DC,Death,6,13,46.15
Kuldeep Yadav,DC,Middle,3,8,37.5
Kumar Kushagra,GT,Middle,1,2,50.0
Kumar Kushagra,GT,Powerplay,17,12,141.67
Kyle Jamieson,DC,Middle,12,13,92.31
Lhuan-dre Pretorius,RR,Death,5,4,125.0
Lhuan-dre Pretorius,RR,Middle,2,2,100.0
Lhuan-dre Pretorius,RR,Powerplay,0,2,0.0
Liam Livingstone,SRH,Death,1,5,20.0
Liam Livingstone,SRH,Middle,2,4,50.0
Liam Livingstone,SRH,Powerplay,12,16,75.0
Lungi Ngidi,DC,Death,4,7,57.14
Madhav Tiwari,DC,Death,18,8,225.0
Manish Pandey,KKR,Middle,41,29,141.38
Manish Pandey,KKR,Powerplay,29,20,145.0
Marco Jansen,PBKS,Death,47,38,123.68
Marco Jansen,PBKS,Middle,4,7,57.14
Marcus Stoinis,PBKS,Death,123,56,219.64
Marcus Stoinis,PBKS,Middle,71,54,131.48
Marcus Stoinis,PBKS,Powerplay,22,10,220.0
Matt Henry,CSK,Death,2,5,40.0
Matt Henry,CSK,Middle,5,5,100.0
Matthew Short,CSK,Death,0,1,0.0
Matthew Short,CSK,Middle,29,25,116.0
Matthew Short,CSK,Powerplay,31,25,124.0
Mayank Yadav,LSG,Death,5,5,100.0
Mitchell Marsh,LSG,Death,32,22,145.45
Mitchell Marsh,LSG,Middle,210,135,155.56
Mitchell Marsh,LSG,Powerplay,321,188,170.74
Mitchell Santner,MI,Death,26,19,136.84
Mitchell Starc,DC,Death,0,2,0.0
Mohammed Shami,LSG,Death,30,21,142.86
Mohammed Shami,LSG,Middle,1,1,100.0
Mohammed Siraj,GT,Death,0,6,0.0
Mohammed Siraj,GT,Middle,5,10,50.0
Mohsin Khan,LSG,Death,0,4,0.0
Mukesh Choudhary,CSK,Middle,2,2,100.0
Mukul Choudhary,LSG,Death,115,77,149.35
Mukul Choudhary,LSG,Middle,55,43,127.91
Naman Dhir,MI,Death,49,31,158.06
Naman Dhir,MI,Middle,177,119,148.74
Naman Dhir,MI,Powerplay,92,66,139.39
Nandre Burger,RR,Death,14,9,155.56
Natarajan,DC,Death,1,2,50.0
Nehal Wadhera,PBKS,Death,21,14,150.0
Nehal Wadhera,PBKS,Middle,44,39,112.82
Nehal Wadhera,PBKS,Powerplay,0,4,0.0
Nicholas Pooran,LSG,Death,41,15,273.33
Nicholas Pooran,LSG,Middle,144,131,109.92
Nicholas Pooran,LSG,Powerplay,49,38,128.95
Nishant Sindhu,GT,Middle,34,27,125.93
Nishant Sindhu,GT,Powerplay,29,23,126.09
Nitish Rana,DC,Death,19,8,237.5
Nitish Rana,DC,Middle,135,74,182.43
Nitish Rana,DC,Powerplay,71,67,105.97
Nitish Reddy,SRH,Death,136,63,215.87
Nitish Reddy,SRH,Middle,162,103,157.28
Nitish Reddy,SRH,Powerplay,4,10,40.0
Noor Ahmad,CSK,Death,9,9,100.0
Noor Ahmad,CSK,Middle,2,14,14.29
Pat Cummins,SRH,Death,10,8,125.0
Pat Cummins,SRH,Middle,20,11,181.82
Pathum Nissanka,DC,Middle,43,36,119.44
Pathum Nissanka,DC,Powerplay,234,139,168.35
Phil Salt,RCB,Middle,84,45,186.67
Phil Salt,RCB,Powerplay,118,75,157.33
Prabhsimran Singh,PBKS,Death,1,1,100.0
Prabhsimran Singh,PBKS,Middle,229,133,172.18
Prabhsimran Singh,PBKS,Powerplay,280,168,166.67
Praful Hinge,SRH,Death,0,1,0.0
Praful Hinge,SRH,Middle,3,8,37.5
Prashant Veer,CSK,Death,48,39,123.08
Prashant Veer,CSK,Middle,43,28,153.57
Prasidh Krishna,GT,Death,6,7,85.71
Prince Yadav,LSG,Death,0,1,0.0
Priyansh Arya,PBKS,Middle,70,35,200.0
Priyansh Arya,PBKS,Powerplay,294,137,214.6
Quinton de Kock,MI,Death,30,13,230.77
Quinton de Kock,MI,Middle,67,36,186.11
Quinton de Kock,MI,Powerplay,35,32,109.38
Rahul,DC,Death,68,30,226.67
Rahul,DC,Middle,284,150,189.33
Rahul,DC,Powerplay,241,159,151.57
Rahul Tewatia,GT,Death,111,72,154.17
Rahul Tewatia,GT,Middle,79,58,136.21
Rahul Tewatia,GT,Powerplay,0,2,0.0
Raj Bawa,MI,Death,16,14,114.29
Rajat Patidar,RCB,Death,142,57,249.12
Rajat Patidar,RCB,Middle,321,159,201.89
Rajat Patidar,RCB,Powerplay,37,43,86.05
Ramandeep Singh,KKR,Death,51,28,182.14
Ramandeep Singh,KKR,Middle,31,40,77.5
Rashid Khan,GT,Death,31,20,155.0
Rashid Khan,GT,Middle,19,21,90.48
Rasikh Salam Dar,RCB,Death,3,2,150.0
Ravi Bishnoi,RR,Death,0,3,0.0
Ravi Singh,RR,Middle,4,2,200.0
Ravindra Jadeja,RR,Death,104,74,140.54
Ravindra Jadeja,RR,Middle,109,101,107.92
Ravindra Jadeja,RR,Powerplay,53,22,240.91
Rinku Singh,KKR,Death,183,95,192.63
Rinku Singh,KKR,Middle,112,103,108.74
Rinku Singh,KKR,Powerplay,4,1,400.0
Rishabh Pant,LSG,Death,95,46,206.52
Rishabh Pant,LSG,Middle,169,130,130.0
Rishabh Pant,LSG,Powerplay,49,52,94.23
Riyan Parag,RR,Death,14,10,140.0
Riyan Parag,RR,Middle,242,146,165.75
Riyan Parag,RR,Powerplay,53,40,132.5
Robin Minz,MI,Death,6,4,150.0
Rohit Sharma,MI,Middle,103,62,166.13
Rohit Sharma,MI,Powerplay,180,118,152.54
Romario Shepherd,RCB,Death,34,33,103.03
Romario Shepherd,RCB,Middle,49,33,148.48
Rovman Powell,KKR,Death,72,41,175.61
Rovman Powell,KKR,Middle,103,87,118.39
Rovman Powell,KKR,Powerplay,16,14,114.29
Ruturaj Gaikwad,CSK,Death,33,18,183.33
Ruturaj Gaikwad,CSK,Middle,106,102,103.92
Ruturaj Gaikwad,CSK,Powerplay,198,153,129.41
Ryan Rickelton,MI,Death,24,13,184.62
Ryan Rickelton,MI,Middle,167,78,214.1
Ryan Rickelton,MI,Powerplay,257,149,172.48
Sahil Parakh,DC,Middle,22,19,115.79
Sahil Parakh,DC,Powerplay,24,14,171.43
Sai Sudharsan,GT,Death,76,35,217.14
Sai Sudharsan,GT,Middle,299,179,167.04
Sai Sudharsan,GT,Powerplay,347,244,142.21
Sakib Hussain,SRH,Death,5,7,71.43
Salil Arora,SRH,Death,88,48,183.33
Salil Arora,SRH,Middle,66,49,134.69
Salil Arora,SRH,Powerplay,2,1,200.0
Sameer Rizvi,DC,Death,63,34,185.29
Sameer Rizvi,DC,Middle,180,116,155.17
Sameer Rizvi,DC,Powerplay,9,21,42.86
Sanju Samson,CSK,Death,70,35,200.0
Sanju Samson,CSK,Middle,166,96,172.92
Sanju Samson,CSK,Powerplay,239,156,153.21
Sarfaraz Khan,CSK,Death,27,10,270.0
Sarfaraz Khan,CSK,Middle,51,41,124.39
Sarfaraz Khan,CSK,Powerplay,83,44,188.64
Saurabh Dubey,KKR,Death,4,2,200.0
Shahbaz Ahmed,LSG,Death,49,31,158.06
Shahbaz Ahmed,LSG,Middle,9,10,90.0
Shahrukh Khan,GT,Death,7,8,87.5
Shahrukh Khan,GT,Middle,36,25,144.0
Shardul Thakur,MI,Death,13,17,76.47
Shardul Thakur,MI,Middle,11,13,84.62
Shashank Singh,PBKS,Death,88,43,204.65
Shashank Singh,PBKS,Middle,44,27,162.96
Sherfane Rutherford,MI,Death,69,36,191.67
Sherfane Rutherford,MI,Middle,54,39,138.46
Shimron Hetmyer,RR,Death,23,19,121.05
Shimron Hetmyer,RR,Middle,47,40,117.5
Shimron Hetmyer,RR,Powerplay,8,10,80.0
Shivam Dube,CSK,Death,131,81,161.73
Shivam Dube,CSK,Middle,138,88,156.82
Shivam Dube,CSK,Powerplay,1,1,100.0
Shivang Kumar,SRH,Death,41,29,141.38
Shivang Kumar,SRH,Middle,12,17,70.59
Shreyas Iyer,PBKS,Death,151,71,212.68
Shreyas Iyer,PBKS,Middle,290,182,159.34
Shreyas Iyer,PBKS,Powerplay,57,41,139.02
Shubham Dubey,RR,Death,60,41,146.34
Shubham Dubey,RR,Middle,21,17,123.53
Shubman Gill,GT,Death,37,25,148.0
Shubman Gill,GT,Middle,365,215,169.77
Shubman Gill,GT,Powerplay,330,209,157.89
Smaran Ravichandran,SRH,Death,5,2,250.0
Smaran Ravichandran,SRH,Middle,4,4,100.0
Smaran Ravichandran,SRH,Powerplay,10,19,52.63
Spencer Johnson,CSK,Middle,0,1,0.0
Sunil Narine,KKR,Death,4,11,36.36
Sunil Narine,KKR,Middle,12,4,300.0
Sunil Narine,KKR,Powerplay,24,17,141.18
Suryakumar Yadav,MI,Death,13,12,108.33
Suryakumar Yadav,MI,Middle,176,117,150.43
Suryakumar Yadav,MI,Powerplay,81,54,150.0
Suryansh Shedge,PBKS,Death,40,22,181.82
Suryansh Shedge,PBKS,Middle,102,59,172.88
Suryansh Shedge,PBKS,Powerplay,16,9,177.78
Sushant Mishra,RR,Death,1,3,33.33
Tejasvi Dahiya,KKR,Death,11,12,91.67
Tejasvi Dahiya,KKR,Middle,1,3,33.33
Tilak Varma,MI,Death,154,60,256.67
Tilak Varma,MI,Middle,164,141,116.31
Tilak Varma,MI,Powerplay,41,45,91.11
Tim David,RCB,Death,167,78,214.1
Tim David,RCB,Middle,138,84,164.29
Tim Seifert,KKR,Powerplay,19,18,105.56
Travis Head,SRH,Middle,73,43,169.77
Travis Head,SRH,Powerplay,337,198,170.2
Trent Boult,MI,Death,7,2,350.0
Trent Boult,MI,Middle,1,2,50.0
Tristan Stubbs,DC,Death,107,75,142.67
Tristan Stubbs,DC,Middle,140,113,123.89
Tristan Stubbs,DC,Powerplay,28,28,100.0
Tushar Deshpande,RR,Death,26,13,200.0
Tushar Deshpande,RR,Middle,0,1,0.0
Urvil Patel,CSK,Middle,27,17,158.82
Urvil Patel,CSK,Powerplay,102,47,217.02
Vaibhav Arora,KKR,Death,1,3,33.33
Vaibhav Sooryavanshi,RR,Death,29,10,290.0
Vaibhav Sooryavanshi,RR,Middle,226,94,240.43
Vaibhav Sooryavanshi,RR,Powerplay,521,223,233.63
Varun Chakaravarthy,KKR,Death,5,6,83.33
Venkatesh Iyer,RCB,Death,73,45,162.22
Venkatesh Iyer,RCB,Middle,41,25,164.0
Venkatesh Iyer,RCB,Powerplay,95,42,226.19
Vijaykumar Vyshak,PBKS,Death,2,4,50.0
Vipraj Nigam,DC,Death,15,10,150.0
Virat Kohli,RCB,Death,66,27,244.44
Virat Kohli,RCB,Middle,249,175,142.29
Virat Kohli,RCB,Powerplay,360,206,174.76
Vishnu Vinod,PBKS,Death,15,8,187.5
Washington Sundar,GT,Death,199,115,173.04
Washington Sundar,GT,Middle,158,123,128.46
Washington Sundar,GT,Powerplay,20,13,153.85
Will Jacks,MI,Death,44,19,231.58
Will Jacks,MI,Middle,47,30,156.67
Will Jacks,MI,Powerplay,48,27,177.78
Xavier Bartlett,PBKS,Death,29,13,223.08
Yashasvi Jaiswal,RR,Middle,124,91,136.26
Yashasvi Jaiswal,RR,Powerplay,302,188,160.64
