season,team,played,wins,losses,points,win_pct
2022,Gujarat Titans,16,12,4,24,75.0
2022,Rajasthan Royals,17,10,7,20,58.8
2022,Lucknow Super Giants,15,9,6,18,60.0
2022,Royal Challengers Bengaluru,16,9,7,18,56.2
2022,Delhi Capitals,14,7,7,14,50.0
2022,Punjab Kings,14,7,7,14,50.0
2022,Sunrisers Hyderabad,14,6,8,12,42.9
2022,Kolkata Knight Riders,14,6,8,12,42.9
2022,Mumbai Indians,14,4,10,8,28.6
2022,Chennai Super Kings,14,4,10,8,28.6
2023,Gujarat Titans,13,9,4,18,69.2
2023,Lucknow Super Giants,13,7,6,14,53.8
2023,Chennai Super Kings,13,7,6,14,53.8
2023,Mumbai Indians,13,6,7,12,46.2
2023,Rajasthan Royals,13,6,7,12,46.2
2023,Royal Challengers Bengaluru,12,6,6,12,50.0
2023,Kolkata Knight Riders,13,6,7,12,46.2
2023,Punjab Kings,12,6,6,12,50.0
2023,Delhi Capitals,12,4,8,8,33.3
2023,Sunrisers Hyderabad,10,3,7,6,30.0
2023,Sunriders Hyderabad,1,0,1,0,0.0
2023,Sunrises Hyderabad,1,0,1,0,0.0
2024,Kolkata Knight Riders,16,11,5,22,68.8
2024,Sunrisers Hyderabad,17,9,8,18,52.9
2024,Rajasthan Royals,16,9,7,18,56.2
2024,Lucknow Super Giants,14,7,7,14,50.0
2024,Delhi Capitals,14,7,7,14,50.0
2024,Chennai Super Kings,14,7,7,14,50.0
2024,Royal Challengers Bengaluru,15,7,8,14,46.7
2024,Gujarat Titans,14,5,9,10,35.7
2024,Punjab Kings,14,5,9,10,35.7
2024,Mumbai Indians,14,4,10,8,28.6
2025,Royal Challengers Bengaluru,16,11,5,22,68.8
2025,Punjab Kings,17,10,7,20,58.8
2025,Gujarat Titans,15,9,6,18,60.0
2025,Mumbai Indians,16,9,7,18,56.2
2025,Delhi Capitals,14,7,7,14,50.0
2025,Sunrisers Hyderabad,14,6,8,12,42.9
2025,Lucknow Super Giants,14,6,8,12,42.9
2025,Kolkata Knight Riders,14,5,9,10,35.7
2025,Rajasthan Royals,14,4,10,8,28.6
2025,Chennai Super Kings,14,4,10,8,28.6
2026,Royal Challengers Bengaluru,16,11,5,22,68.8
2026,Gujarat Titans,17,10,7,20,58.8
2026,Sunrisers Hyderabad,15,9,6,18,60.0
2026,Rajasthan Royals,16,9,7,18,56.2
2026,Delhi Capitals,14,7,7,14,50.0
2026,Punjab Kings,13,7,6,14,53.8
2026,Chennai Super Kings,14,6,8,12,42.9
2026,Lucknow Super Giants,14,5,9,10,35.7
2026,Kolkata Knight Riders,14,5,9,10,35.7
2026,Mumbai Indians,14,4,10,8,28.6
