venue,matches,avg_first_innings,avg_second_innings,max_score,bat_first_pct,bat_first_wins,chase_wins
Wankhede Stadium,48,181,174.0,243.0,54.2,26,22
Narendra Modi Stadium,34,184,171.0,232.0,58.8,20,14
Eden Gardens,29,183,183.0,261.0,50.0,14,14
MA Chidambaram Stadium,29,170,164.0,217.0,48.3,14,15
Ekana Cricket Stadium,28,172,171.0,227.0,34.5,10,19
Arun Jaitley Stadium,25,188,185.0,278.0,36.0,9,16
Rajiv Gandhi International Stadium,25,194,183.0,286.0,52.0,13,12
M. Chinnaswamy Stadium,23,188,183.0,262.0,43.5,10,13
New PCA Cricket Stadium,22,185,179.0,257.0,27.3,6,16
Sawai Mansingh Stadium,21,190,183.0,228.0,38.1,8,13
Dr DY Patil Sports Academy,20,171,158.0,216.0,55.0,11,9
Brabourne Stadium,16,177,164.0,217.0,43.8,7,9
"Maharashtra Cricket Association Stadium,Pune",13,171,145.0,210.0,38.5,5,8
HPCA Stadium,7,206,198.0,254.0,42.9,3,4
Barsapara Stadium,6,170,155.0,201.0,33.3,2,4
Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,184,204.0,211.0,75.0,3,1
ACA Stadium,2,166,164.0,182.0,50.0,1,1
Shaheed Veer Narayan Singh Stadium,2,179,180.0,192.0,0.0,0,2
